influencer_name,type,influencer_id,username,followers_count,following_count,avg_likes,avg_comments,total_posts,account_age_days,profile_complete,label
AvaStyle,follower,inf_1001,inf_1001_f028,945,1505,138,33,395,884,1,real
AvaStyle,follower,inf_1001,inf_1001_f029,4562,1189,262,21,671,1113,1,real
AvaStyle,follower,inf_1001,inf_1001_f030,2161,1755,210,14,224,2320,1,fake
AvaStyle,follower,inf_1001,inf_1001_f031,437,137,148,30,285,993,1,fake
AvaStyle,follower,inf_1001,inf_1001_f032,3863,1735,183,23,102,1103,0,real
AvaStyle,follower,inf_1001,inf_1001_f033,4050,482,177,13,514,2756,1,real
AvaStyle,follower,inf_1001,inf_1001_f034,4127,1942,181,5,874,2905,0,fake
AvaStyle,follower,inf_1001,inf_1001_f035,1832,1059,96,27,828,2804,1,real
AvaStyle,follower,inf_1001,inf_1001_f036,3442,1028,210,5,762,850,0,real
AvaStyle,follower,inf_1001,inf_1001_f037,425,389,243,9,646,2640,1,fake
AvaStyle,follower,inf_1001,inf_1001_f038,1477,1203,285,8,41,258,1,real
AvaStyle,follower,inf_1001,inf_1001_f039,4513,1614,76,27,912,997,0,real
AvaStyle,follower,inf_1001,inf_1001_f040,2263,515,154,32,266,2602,1,fake
AvaStyle,follower,inf_1001,inf_1001_f041,4659,938,72,3,951,1649,1,fake
AvaStyle,follower,inf_1001,inf_1001_f042,4309,347,277,9,556,2291,0,fake
AvaStyle,follower,inf_1001,inf_1001_f043,1700,1326,7,9,196,779,1,real
AvaStyle,follower,inf_1001,inf_1001_f044,4758,206,171,33,563,2475,1,real
AvaStyle,follower,inf_1001,inf_1001_f045,4789,196,132,12,303,372,0,fake
AvaStyle,follower,inf_1001,inf_1001_f046,4801,137,37,28,353,2708,1,real
AvaStyle,follower,inf_1001,inf_1001_f047,2470,1006,265,34,846,2158,1,real
AvaStyle,follower,inf_1001,inf_1001_f048,4486,1875,137,35,934,1029,1,real
AvaStyle,follower,inf_1001,inf_1001_f049,3613,329,205,28,343,497,1,real
AvaStyle,follower,inf_1001,inf_1001_f050,3708,229,113,19,822,701,0,fake
AvaStyle,follower,inf_1001,inf_1001_f051,1371,598,75,29,244,585,1,fake
AvaStyle,follower,inf_1001,inf_1001_f052,1533,1447,119,10,743,1967,1,fake
AvaStyle,follower,inf_1001,inf_1001_f053,2978,942,105,22,346,577,1,fake
AvaStyle,follower,inf_1001,inf_1001_f054,359,772,288,29,471,274,1,fake
AvaStyle,follower,inf_1001,inf_1001_f055,4438,1357,156,32,85,662,0,real
AvaStyle,follower,inf_1001,inf_1001_f056,888,623,144,2,947,943,1,real
AvaStyle,follower,inf_1001,inf_1001_f057,3659,1819,137,25,172,2397,1,fake
AvaStyle,follower,inf_1001,inf_1001_f058,2879,263,147,3,838,950,1,real
AvaStyle,follower,inf_1001,inf_1001_f059,2403,114,50,16,105,2691,0,real
AvaStyle,follower,inf_1001,inf_1001_f060,2366,1846,67,29,31,1589,1,fake
AvaStyle,follower,inf_1001,inf_1001_f061,2394,1353,71,2,559,1176,0,real
AvaStyle,follower,inf_1001,inf_1001_f062,2345,183,97,12,974,1477,1,fake
AvaStyle,follower,inf_1001,inf_1001_f063,4550,1635,110,18,476,2248,1,real
AvaStyle,follower,inf_1001,inf_1001_f064,2416,790,14,16,57,262,0,real
AvaStyle,follower,inf_1001,inf_1001_f065,4412,1052,130,28,128,2896,1,fake
AvaStyle,follower,inf_1001,inf_1001_f066,4255,1198,206,32,335,1081,0,fake
AvaStyle,follower,inf_1001,inf_1001_f067,1827,1784,76,25,375,422,0,real
AvaStyle,follower,inf_1001,inf_1001_f068,779,1360,135,27,187,426,0,fake
AvaStyle,follower,inf_1001,inf_1001_f069,4344,1453,149,15,729,1400,0,fake
AvaStyle,follower,inf_1001,inf_1001_f070,1718,402,142,28,23,1278,1,fake
AvaStyle,follower,inf_1001,inf_1001_f071,4681,742,130,2,923,1467,0,fake
AvaStyle,follower,inf_1001,inf_1001_f072,1698,82,176,24,105,2144,1,real
AvaStyle,follower,inf_1001,inf_1001_f073,2233,1113,7,5,290,567,0,fake
AvaStyle,follower,inf_1001,inf_1001_f074,541,886,16,19,331,2779,0,real
AvaStyle,follower,inf_1001,inf_1001_f075,4997,1163,84,24,802,1535,1,fake
AvaStyle,follower,inf_1001,inf_1001_f076,1424,661,79,2,864,2301,1,fake
AvaStyle,follower,inf_1001,inf_1001_f077,4341,365,273,32,602,265,1,real
AvaStyle,follower,inf_1001,inf_1001_f078,897,143,26,8,672,1677,0,fake
AvaStyle,follower,inf_1001,inf_1001_f079,3897,1223,30,1,661,2376,1,real
AvaStyle,follower,inf_1001,inf_1001_f080,521,1580,0,3,103,50,1,real
AvaStyle,follower,inf_1001,inf_1001_f081,558,770,15,2,104,53,0,real
AvaStyle,follower,inf_1001,inf_1001_f082,230,1445,14,3,109,210,0,fake
AvaStyle,follower,inf_1001,inf_1001_f083,314,3641,1,4,81,344,0,real
AvaStyle,follower,inf_1001,inf_1001_f084,170,1858,8,2,80,305,0,real
AvaStyle,follower,inf_1001,inf_1001_f085,513,748,15,2,87,65,1,real
AvaStyle,follower,inf_1001,inf_1001_f086,521,1691,9,3,60,253,0,real
AvaStyle,follower,inf_1001,inf_1001_f087,339,851,15,0,38,249,0,fake
AvaStyle,follower,inf_1001,inf_1001_f088,295,2084,6,1,10,312,0,real
AvaStyle,follower,inf_1001,inf_1001_f089,556,1572,11,1,78,434,1,fake
AvaStyle,follower,inf_1001,inf_1001_f090,135,3380,11,1,64,474,0,fake
AvaStyle,follower,inf_1001,inf_1001_f091,45,1151,0,3,88,245,0,fake
AvaStyle,follower,inf_1001,inf_1001_f092,164,2204,11,3,41,76,0,real
AvaStyle,follower,inf_1001,inf_1001_f093,352,3575,10,3,16,496,0,real
AvaStyle,follower,inf_1001,inf_1001_f094,316,1537,11,0,51,214,1,real
AvaStyle,follower,inf_1001,inf_1001_f095,389,2253,8,0,36,67,0,fake
AvaStyle,follower,inf_1001,inf_1001_f096,172,1521,8,3,66,176,0,fake
AvaStyle,follower,inf_1001,inf_1001_f097,458,618,12,4,71,119,1,real
AvaStyle,follower,inf_1001,inf_1001_f098,70,3499,13,3,79,400,0,fake
AvaStyle,follower,inf_1001,inf_1001_f099,517,700,4,1,61,227,0,fake
AvaStyle,follower,inf_1001,inf_1001_f100,324,1547,8,3,84,137,0,fake
AvaStyle,follower,inf_1001,inf_1001_f101,590,3239,12,0,22,344,0,real
AvaStyle,follower,inf_1001,inf_1001_f102,232,2550,15,4,29,246,0,fake
AvaStyle,follower,inf_1001,inf_1001_f103,457,1071,6,1,12,104,0,real
AvaStyle,follower,inf_1001,inf_1001_f104,346,1479,11,2,104,306,0,real
AvaStyle,follower,inf_1001,inf_1001_f105,96,4381,1,1,3254,69,0,real
AvaStyle,follower,inf_1001,inf_1001_f106,49,3213,1,0,2240,37,0,fake
AvaStyle,follower,inf_1001,inf_1001_f107,17,6625,2,0,579,36,0,real
AvaStyle,follower,inf_1001,inf_1001_f108,50,4274,2,1,1968,41,0,real
AvaStyle,follower,inf_1001,inf_1001_f109,17,1264,1,1,2605,64,0,real
AvaStyle,follower,inf_1001,inf_1001_f110,10,4207,2,1,2038,33,0,real
AvaStyle,follower,inf_1001,inf_1001_f111,29,2264,0,0,3580,94,0,fake
AvaStyle,follower,inf_1001,inf_1001_f112,11,5517,0,0,3404,18,0,real
AvaStyle,follower,inf_1001,inf_1001_f113,73,1307,2,1,724,82,0,fake
AvaStyle,follower,inf_1001,inf_1001_f114,68,6212,1,0,607,11,0,fake
AvaStyle,follower,inf_1001,inf_1001_f115,68,5775,0,1,1268,30,0,real
AvaStyle,follower,inf_1001,inf_1001_f116,2,5403,1,1,1341,42,0,real
AvaStyle,follower,inf_1001,inf_1001_f117,61,5311,0,0,319,54,0,fake
AvaStyle,follower,inf_1001,inf_1001_f118,8,1178,0,1,3824,88,0,fake
AvaStyle,follower,inf_1001,inf_1001_f119,11,3107,0,1,3989,49,0,real
TechNate,influencer,inf_1002,tech.nate,716888,369,19077,981,2384,4295,1,real
TechNate,follower,inf_1002,inf_1002_f000,3446,485,8,18,776,2267,0,real
TechNate,follower,inf_1002,inf_1002_f001,4260,490,164,12,256,2105,0,fake
TechNate,follower,inf_1002,inf_1002_f002,2616,303,258,11,937,1114,1,fake
TechNate,follower,inf_1002,inf_1002_f003,662,1298,79,25,75,1072,0,real
TechNate,follower,inf_1002,inf_1002_f004,3602,186,35,11,422,2041,1,fake
TechNate,follower,inf_1002,inf_1002_f005,1127,242,89,21,215,959,1,fake
TechNate,follower,inf_1002,inf_1002_f006,461,718,198,23,359,2012,0,real
TechNate,follower,inf_1002,inf_1002_f007,223,240,148,5,379,1921,0,real
TechNate,follower,inf_1002,inf_1002_f008,3314,810,163,27,109,401,1,fake
TechNate,follower,inf_1002,inf_1002_f009,1803,843,282,28,217,1524,1,fake
TechNate,follower,inf_1002,inf_1002_f010,448,1373,215,15,851,2761,1,real
TechNate,follower,inf_1002,inf_1002_f011,3276,151,242,4,842,453,1,real
TechNate,follower,inf_1002,inf_1002_f012,714,1920,178,23,298,1572,1,real
TechNate,follower,inf_1002,inf_1002_f013,2347,1608,167,17,324,215,1,real
TechNate,follower,inf_1002,inf_1002_f014,398,1771,124,6,506,2107,1,fake
TechNate,follower,inf_1002,inf_1002_f015,3722,1748,257,8,970,2233,0,real
TechNate,follower,inf_1002,inf_1002_f016,2684,1765,82,15,355,1508,1,fake
TechNate,follower,inf_1002,inf_1002_f017,847,1128,106,25,790,855,0,fake
TechNate,follower,inf_1002,inf_1002_f018,730,1410,22,30,585,2430,1,real
TechNate,follower,inf_1002,inf_1002_f019,3694,1889,58,4,291,2758,0,real
TechNate,follower,inf_1002,inf_1002_f020,989,942,260,28,197,1159,0,fake
TechNate,follower,inf_1002,inf_1002_f021,3975,1350,125,34,887,2921,0,fake
TechNate,follower,inf_1002,inf_1002_f022,2606,652,295,17,401,1240,1,fake
TechNate,follower,inf_1002,inf_1002_f023,1831,979,131,11,271,1164,0,fake
TechNate,follower,inf_1002,inf_1002_f024,4937,465,172,4,425,1230,0,real
TechNate,follower,inf_1002,inf_1002_f025,1023,1418,242,2,124,218,1,real
TechNate,follower,inf_1002,inf_1002_f026,3872,1952,196,2,917,1402,0,real
TechNate,follower,inf_1002,inf_1002_f027,612,468,104,4,401,2299,0,fake
TechNate,follower,inf_1002,inf_1002_f028,2329,1667,8,6,672,2641,1,fake
TechNate,follower,inf_1002,inf_1002_f029,1982,156,193,21,164,380,0,fake
TechNate,follower,inf_1002,inf_1002_f030,513,1307,109,0,858,1540,1,fake
TechNate,follower,inf_1002,inf_1002_f031,1716,1351,164,4,228,328,1,fake
TechNate,follower,inf_1002,inf_1002_f032,718,915,56,25,699,2453,0,real
TechNate,follower,inf_1002,inf_1002_f033,1540,894,143,26,310,2935,1,fake
TechNate,follower,inf_1002,inf_1002_f034,620,719,295,22,444,1905,0,fake
TechNate,follower,inf_1002,inf_1002_f035,1815,880,212,13,984,224,1,real
TechNate,follower,inf_1002,inf_1002_f036,3671,312,51,25,611,1693,1,real
TechNate,follower,inf_1002,inf_1002_f037,1264,110,31,35,165,2824,1,real
TechNate,follower,inf_1002,inf_1002_f038,4892,1354,194,32,195,797,1,fake
TechNate,follower,inf_1002,inf_1002_f039,1525,1147,92,4,131,1771,1,real
TechNate,follower,inf_1002,inf_1002_f040,2670,339,27,30,342,418,1,fake
TechNate,follower,inf_1002,inf_1002_f041,906,1931,87,14,655,1856,1,real
TechNate,follower,inf_1002,inf_1002_f042,4074,454,294,13,62,1837,1,real
TechNate,follower,inf_1002,inf_1002_f043,3342,815,68,9,272,988,0,real
TechNate,follower,inf_1002,inf_1002_f044,2855,321,204,29,583,2768,1,fake
TechNate,follower,inf_1002,inf_1002_f045,2724,1273,132,27,418,2898,1,fake
TechNate,follower,inf_1002,inf_1002_f046,4325,977,96,1,23,2734,1,fake
TechNate,follower,inf_1002,inf_1002_f047,2127,995,239,11,849,2138,1,real
TechNate,follower,inf_1002,inf_1002_f048,749,343,188,27,394,575,1,real
TechNate,follower,inf_1002,inf_1002_f049,533,1383,71,5,964,1485,1,real
TechNate,follower,inf_1002,inf_1002_f050,644,1620,263,24,688,757,0,real
TechNate,follower,inf_1002,inf_1002_f051,1097,476,72,31,314,876,1,real
TechNate,follower,inf_1002,inf_1002_f052,736,1786,184,16,182,1526,1,fake
TechNate,follower,inf_1002,inf_1002_f053,3938,374,135,32,961,2166,0,fake
TechNate,follower,inf_1002,inf_1002_f054,4345,566,168,23,57,1014,0,fake
TechNate,follower,inf_1002,inf_1002_f055,1520,1383,147,20,936,1743,0,fake
TechNate,follower,inf_1002,inf_1002_f056,1142,1653,276,3,671,1673,1,real
TechNate,follower,inf_1002,inf_1002_f057,2264,1177,206,23,291,1739,1,real
TechNate,follower,inf_1002,inf_1002_f058,3151,757,46,28,255,923,1,real
TechNate,follower,inf_1002,inf_1002_f059,2627,1759,269,16,337,2818,1,fake
TechNate,follower,inf_1002,inf_1002_f060,214,1610,22,14,172,1391,1,fake
TechNate,follower,inf_1002,inf_1002_f061,3621,1129,191,3,155,2200,0,real
TechNate,follower,inf_1002,inf_1002_f062,382,191,6,22,331,635,1,fake
TechNate,follower,inf_1002,inf_1002_f063,4575,539,216,19,623,747,0,fake
TechNate,follower,inf_1002,inf_1002_f064,4090,404,73,0,979,1197,1,real
TechNate,follower,inf_1002,inf_1002_f065,3893,276,37,9,912,2925,1,fake
TechNate,follower,inf_1002,inf_1002_f066,2364,103,33,35,934,1634,1,fake
TechNate,follower,inf_1002,inf_1002_f067,4440,1582,257,15,189,201,0,real
TechNate,follower,inf_1002,inf_1002_f068,4554,131,212,11,263,852,0,real
TechNate,follower,inf_1002,inf_1002_f069,301,1334,287,12,165,1892,0,fake
TechNate,follower,inf_1002,inf_1002_f070,1630,1121,163,4,327,2763,0,fake
TechNate,follower,inf_1002,inf_1002_f071,4610,93,197,27,783,2105,0,fake
TechNate,follower,inf_1002,inf_1002_f072,1636,542,58,16,257,2837,0,real
TechNate,follower,inf_1002,inf_1002_f073,2948,1905,139,3,292,2804,1,fake
TechNate,follower,inf_1002,inf_1002_f074,4486,623,156,13,107,2278,0,real
TechNate,follower,inf_1002,inf_1002_f075,2332,1932,125,12,987,852,1,fake
TechNate,follower,inf_1002,inf_1002_f076,1772,1882,204,21,635,1179,1,fake
TechNate,follower,inf_1002,inf_1002_f077,4067,1799,276,0,898,308,1,real
TechNate,follower,inf_1002,inf_1002_f078,4872,1891,162,13,420,2750,1,real
TechNate,follower,inf_1002,inf_1002_f079,4830,1945,92,9,53,310,0,real
TechNate,follower,inf_1002,inf_1002_f080,185,1912,4,0,4,36,0,real
TechNate,follower,inf_1002,inf_1002_f081,89,3517,1,0,110,317,0,real
TechNate,follower,inf_1002,inf_1002_f082,566,3220,2,3,14,141,0,real
TechNate,follower,inf_1002,inf_1002_f083,134,638,1,0,106,399,1,fake
TechNate,follower,inf_1002,inf_1002_f084,508,909,4,0,102,402,1,real
TechNate,follower,inf_1002,inf_1002_f085,321,1807,10,3,34,25,0,fake
TechNate,follower,inf_1002,inf_1002_f086,309,698,11,2,99,323,1,fake
TechNate,follower,inf_1002,inf_1002_f087,314,3032,0,3,4,238,1,real
TechNate,follower,inf_1002,inf_1002_f088,375,2420,1,4,73,125,1,real
TechNate,follower,inf_1002,inf_1002_f089,314,1197,13,0,68,118,0,real
TechNate,follower,inf_1002,inf_1002_f090,24,1924,15,0,63,370,0,fake
TechNate,follower,inf_1002,inf_1002_f091,375,3907,8,4,21,160,0,real
TechNate,follower,inf_1002,inf_1002_f092,530,1179,3,0,63,418,1,real
TechNate,follower,inf_1002,inf_1002_f093,354,1956,3,3,119,217,1,real
TechNate,follower,inf_1002,inf_1002_f094,452,3145,0,2,27,170,0,fake
TechNate,follower,inf_1002,inf_1002_f095,578,2552,5,3,114,337,0,fake
TechNate,follower,inf_1002,inf_1002_f096,149,2677,1,2,75,182,1,real
TechNate,follower,inf_1002,inf_1002_f097,481,3211,10,1,60,239,1,fake
TechNate,follower,inf_1002,inf_1002_f098,256,1016,10,3,83,468,1,real
TechNate,follower,inf_1002,inf_1002_f099,539,1284,8,2,97,375,1,real
TechNate,follower,inf_1002,inf_1002_f100,179,1514,10,4,67,193,0,real
TechNate,follower,inf_1002,inf_1002_f101,355,1275,8,0,22,351,0,real
TechNate,follower,inf_1002,inf_1002_f102,413,1118,4,2,94,167,0,fake
TechNate,follower,inf_1002,inf_1002_f103,220,947,3,2,27,468,0,fake
TechNate,follower,inf_1002,inf_1002_f104,54,551,12,3,89,128,1,fake
TechNate,follower,inf_1002,inf_1002_f105,60,1181,0,1,2672,96,0,fake
TechNate,follower,inf_1002,inf_1002_f106,1,2984,1,1,3665,31,0,real
TechNate,follower,inf_1002,inf_1002_f107,87,2486,2,0,2059,57,0,fake
TechNate,follower,inf_1002,inf_1002_f108,34,6146,2,0,3864,55,0,real
TechNate,follower,inf_1002,inf_1002_f109,101,4277,2,0,1224,110,0,fake
TechNate,follower,inf_1002,inf_1002_f110,62,4728,0,1,2322,88,0,real
TechNate,follower,inf_1002,inf_1002_f111,115,6361,1,0,1792,108,0,fake
TechNate,follower,inf_1002,inf_1002_f112,117,1871,0,1,2425,29,0,real
TechNate,follower,inf_1002,inf_1002_f113,92,2636,2,1,614,110,0,fake
TechNate,follower,inf_1002,inf_1002_f114,70,2679,2,1,2297,4,0,fake
TechNate,follower,inf_1002,inf_1002_f115,67,3808,1,1,1060,89,0,real
TechNate,follower,inf_1002,inf_1002_f116,51,5208,0,1,2811,9,0,fake
TechNate,follower,inf_1002,inf_1002_f117,36,4128,1,0,254,11,0,fake
TechNate,follower,inf_1002,inf_1002_f118,118,4445,2,1,2576,35,0,real
TechNate,follower,inf_1002,inf_1002_f119,29,3486,2,1,2358,30,0,fake
